,CourseID,Course Name,Basic,No. Classes
0,C01,Course 01,0,2.0
1,C02,Course 02,0,3.0
2,C03,Course 03,1,2.0
3,C04,Course 04,0,3.0
4,C05,Course 05,1,5.0
5,C06,Course 06,1,
6,C07,Course 07,1,4.0
7,C08,Course 08,0,2.0
8,C09,Course 09,1,4.0
9,C10,Course 10,0,2.0
10,C11,Course 11,1,5.0
11,C12,Course 12,1,3.0
12,C13,Course 13,1,2.0
13,C14,Course 14,1,2.0
14,C15,Course 15,1,2.0
15,C16,Course 16,0,
16,C17,Course 17,0,3.0
17,C18,Course 18,1,4.0
18,C19,Course 19,0,3.0
19,C20,Course 20,1,1.0
20,C21,Course 21,1,4.0
21,C22,Course 22,1,5.0
22,C23,Course 23,1,1.0
23,C24,Course 24,0,4.0
24,C25,Course 25,0,3.0
25,C26,Course 26,0,5.0
26,C27,Course 27,1,2.0
27,C28,Course 28,1,2.0
28,C29,Course 29,1,3.0
29,C30,Course 30,1,5.0
30,C31,Course 31,1,2.0
31,C32,Course 32,0,5.0
32,C33,Course 33,1,2.0
33,C34,Course 34,1,1.0
34,C35,Course 35,0,4.0
35,C36,Course 36,0,5.0
36,C37,Course 37,0,5.0
37,C38,Course 38,0,4.0
38,C39,Course 39,0,3.0
39,C40,Course 40,1,1.0
40,C41,Course 41,1,1.0
41,C42,Course 42,1,
42,C43,Course 43,1,
43,C44,Course 44,0,
44,C45,Course 45,1,
45,C46,Course 46,1,
46,C47,Course 47,1,
47,C48,Course 48,0,
48,C49,Course 49,0,
49,C50,Course 50,1,
