,CourseID,Course Name,Basic,No. Classes
0,C01,Course 01,1,3.0
1,C02,Course 02,1,4.0
2,C03,Course 03,1,3.0
3,C04,Course 04,1,
4,C05,Course 05,1,1.0
5,C06,Course 06,1,5.0
6,C07,Course 07,0,3.0
7,C08,Course 08,0,3.0
8,C09,Course 09,1,1.0
9,C10,Course 10,1,4.0
10,C11,Course 11,1,4.0
11,C12,Course 12,0,1.0
12,C13,Course 13,0,4.0
13,C14,Course 14,1,4.0
14,C15,Course 15,0,2.0
15,C16,Course 16,1,2.0
16,C17,Course 17,0,2.0
17,C18,Course 18,1,4.0
18,C19,Course 19,1,4.0
19,C20,Course 20,1,5.0
20,C21,Course 21,0,
21,C22,Course 22,1,5.0
22,C23,Course 23,0,2.0
23,C24,Course 24,0,1.0
24,C25,Course 25,1,4.0
25,C26,Course 26,1,4.0
26,C27,Course 27,0,3.0
27,C28,Course 28,0,1.0
28,C29,Course 29,1,5.0
29,C30,Course 30,1,5.0
